ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"951","chrysanthemic acid",,,,,,,,,
"1245","8a-hydroxyavermectin B1a","NOA 448112",,,,,,,,
"1246","8a-oxo-avermectine B1a","NOA 448111",,,,,,,,
"1405","4,8a-dihydroxy-avermectin B1a","NOA 457464",,,,,,,,
"1406","8a-oxo-4-hydroxy-avermectin B1a","NOA 457465",,,,,,,,
"1448","N-demethylated spinosyn D",,,,,,,,,
"2225","27-hydroxy-milbemycin A4",,,,,,,,,
"2226","27-keto-milbemycin A4",,,,,,,,,
"2462","8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a","NOA 438306","8a-OH MAB1a","8a-hydroxy-MK-0244 B1a",,,,,,
"2463","(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a","NOA 438307","8a-oxo MAB1a","8a-oxo-MK-0244-B1a",,,,,,
"2464","N-nitroso MAB1a",,,,,,,,,
"2465","(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a","NOA 415692","MFB1a",,,,,,,
"688","benzo(1,2,3)thiadiazole-7-carboxylic acid","CGA 210007","acibenzolar acid",,,,,,,
"689","2-hydroxy-2',6'-diethyl-N-(methoxymethyl)acetanilide",,"hydroxyalachlor","2-hydroxalachlor",,,,,,
"690","methomyl oxime","IN-X1177","methyl thioacetohydroxamate","1-(methylthio)acetaldehyde oxime",,,,,,
"691","aldicarb sulfoxide",,"aldicarb sulfoxide",,,,,,,
"692","3-phenoxybenzoic acid",,"3-carboxydiphenylether","diphenylether-3-carboxylic acid","mPBAcid","3PBA","3PBAc","PBA",,
"693","deethyl ametryne",,"DEA",,,,,,,
"694","4,6-bis(amino)-2-chloro-s-triazine","ENT 50982",,,,,,,,
"695","deethylatrazine","G-30033","DEA","desethylatrazine","desethyl-s-triazine","desisopropyl propazine","4-deethylatrazine ",,,
"696","desethyl azinphos-ethyl",,,,,,,,,
"697","sulfonmethylbenzamid",,,,,,,,,
"698","(E)-2-(2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)phenyl)-3-methoxyacrylic acid","R234886","O-demethyl azoxystrobin",,,,,,,
"699","2,2-dimethyl-1,3-benzodioxol-4-ol","NC-7312","bendiocarb phenol",,,,,,,
"700","2-amino-N-isopropylbenzamide",,,,,,,,,
"701","4-fluoro-3-phenoxybenzoic acid",,"FPBacid",,,,,,,
