ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"2257","Metaphycus flavus",,"Order: Hymenoptera; Family: Encyrtidae","Native of North Africa but now widespread especially in the Mediterranean region","Reared for commercial purposes on scale under controlled conditions","Various soft scales including soft brown scale (<i>Coccus hesperidum</i>), hemispherical scale (<i>Saissetia coffeae</i>) and black scale (<i>Saissetia oleae</i>). Will also attack wasps. ","Crop protection","Citrus groves","Metaphycus flavus","Entocare","Metaphycus flavus","Sautter and Stepper","Metaphycus spp.","Biological Services","Germany, Netherlands, Switzerland, Australia",
"2258","Metaphycus helvolus",,"Order: Hymenoptera; Family: Encyrtidae","Native of South Africa but now widely introduced","Reared for commercial purposes on scale insects under controlled conditions","Various soft-bodied scale insects including black scale (<i>Parlatoria ziziphi</i>), nigra scale (<i>Parasaissetia nigra</i>), soft brown scale (<i>Coccus hesperidum</i>) and hemispherical scale (<i>Saissetia coffeae</i>)","Crop protection","Citrus groves, top fuit, ornamentals","Metaphycus helvolus wasps","Rincon Vitova","Metaphycus helvolus","Praxis","Metaphycus helvolus","Natural Pest Control","Austria, Belgium, Denmark, France, Germany, Greece, Israel, Italy, Netherlands, Spain, Sweden, Switzerland, Australia",
"2259","Microctonus aethiopoides",,"Order: Hymenoptera; Family: Braconidae","Native of the USA and now widespread across Europe including the UK and Ireland","Reared for commercial purposes on the alfalfa weevil under controlled conditions","Alfalfa weevil (<i>Hypera postica</i>)","Crop protection","Alfalfa (Lucerne)","Microctonus aethiopoides","Praxis",,,,,"New Zealand",
"2260","Microplitis plutellae",,"Order: Hymenoptera; Family: Braconidae","Native of North America but also widespread in sub-tropical areas","Reared for commercial purposes under controlled conditions","Diamond-back moth (<i>Plutella xylostella</i>) and to a lesser extent the cabbage looper (<i>Trichoplusia ni</i>)","Crop protection","Mainly brassicas","Microplitis plutellae","Praxis",,,,,,
"2261","Neodryinus typhlocybae ",,"Order: Hymenoptera; Family: Dryinidae","Native of North America but now widespread","Reared for commercial purposes on planthoppers under controlled conditions","Various planthoppers including the citrus planthopper (<i>Metcalfa pruinosa</i>)","Crop protection","Top fruit, ornamental trees","Neodryinus typhlocybae ","Bioplanet",,,,,"Italy, Austria, France, Switzerland, Croatia, Slovenia",
"2262","Oberea erythrocephala",,"Order: Coleoptera; Family: Cerambycidae","Native to central and southern Europe, Asia minor and southwest Siberia. ","For commercial application the beetle is reared on leafy spurge <i>Euphorbia esula</i> under controlled conditions.","Leafy spurge <i>Euphorbia esula</i>","Land management","Range land, riparian areas","Oberea erthrocephala","Praxis",,,,,"Europe, USA",
"2263","Orius albidipennis",,"Order: Hemiptera; Family: Anthocoridae","Found across the Mediterranean region.","For commercial applications it is reared in insectaries on various soft-bodied insects and larvae.","Mainly thrips but will also consume other insects such as aphids, mites and the eggs of some caterpillars","Crop protection","Protected vegetables and ornamentals","Minute pirate bug","Arbico","Orius","Sautter & Stepper","Oristar","Sumitomo","Belgium, France, Israel, Italy, Netherlands, Spain, ",
"2264","Orius insidiosus",,"Order: Hemiptera; Family: Anthocoridae","Widespread. Common throughout the USA, Mexico and central America","For commercial applications it is reared in insectaries on various soft-bodied insects and larvae.","Mainly thrips (e.g. <i>Frankliniella occidentalis, Sericothrips variabilis</i>) but will also consume other insects such as aphids, mites and the eggs of some caterpillars","Crop protection","Protected vegetables and oranmentals","Orius insidiosus pirate bug","Natures Alternative Insectary","Minute pirate bug","Praxis","Thripor","Koppert","Canada, USA",
"2265","Orius laevigatus",,"Order: Hemiptera; Family: Anthocoridae","Widespread throughout the Mediterranean area.","For commercial applications it is reared in insectaries on various soft-bodied insects and larvae.","Mainly thrips (e.g. <i>Frankliniella occidentalis, Thrips tabaci</i>) but will also consume other insects such as aphids, mites and the eggs of some caterpillars","Crop protection","Protected vegetables and ornamentals","Oriline L","Syngenta Bioline","Orius laevigatus","Biobee Biological systems","Minute pirate bug","Arbico",,
"2266","Orius majusculus",,"Order: Hemiptera; Family: Anthocoridae","Widespread throughout central Europe including the UK and southern Scandinavia. ","For commercial applications it is reared in insectaries on various soft-bodied insects and larvae.","Mainly thrips (e.g. <i>Frankliniella occidentalis, Thrips tabaci</i>) but will also consume other insects such as aphids, mites and the eggs of some caterpillars","Crop protection","Protected vegetables and ornamentals","Oriline m","Syngenta Bioline","Orius N-system","Biobest","Minute pirate bug","Arbico",,
"2267","Pediobius foveolatus",,"Order: Hymenoptera; Family: Eulophidae","Native to India but now introduced into North America","For commercial applications it is reared in insectaries on Mexican been beetles (<i>Epilachna varivestis</i>)","Mexican bean beetles (<i>Epilachna varivestis</i>)","Crop protection","Legumes, cucurbits","Pediobius foveolatus mummies","Arbico","Pediobius foveolatus","Bionetwork Control","Pediobius foveolatus","Praxis","USA",
"2268","Pentalitomastix plethorica",,"Order: Hymenoptera; Family: Encyrtidae","Native to Mexico ","For commercial applications it is reared under controlled conditions on the Navel orangeworm (<i>Amyelois transitella</i>)","Navel orangeworm (<i>Amyelois transitella</i>)","Crop protection","Top fruit, nuts","Pentalitomastix plethorica","Arbico","Pentalitomastix plethorica","Praxis",,,,
"2269","Phytoseiulus persimilis",,"Order: Mesostigimata; Family: Phytoseiidae","Originated in Chile now widespread in Europe","For commercial purposes reared in insectaries on <i>Tetranychus urticae</i> living on legumes","Two spotted spider mite (<i>Tetranychus urticae</i>)","Crop protection; Interior landscape management","Protected vegetables and ornamentals, cotton","Phytoseiulus T System","Biobest","Phytoline p","Syngenta Bioline","Spidex","Koppert","USA, Australia",
"2270","Podisus maculiventris",,"Order: Hemiptera; Family: Pentatomidae","A nitive bug of North and South America.","For commercial applications it is reared on lepidopteran larvae under controlled conditions","Caterpillars (<i>Lepidoptera spp.</i>) such as those of the gypsy moth and small beetles (<i>Coleoptera spp.</i>) such as the Mexican bean beetle and the Colorado potato beetle","Crop protection","Vegetable and ornamental crops both in thefield and under protection.","Podibug","Koppert","Podiline m","Syngenta Bioline","Spined Soldier Bug","Biocontrol Network","USA",
"951","chrysanthemic acid",,,,,,,,,,,,,,,
"1245","8a-hydroxyavermectin B1a","NOA 448112",,,,,,,,,,,,,,
"1246","8a-oxo-avermectine B1a","NOA 448111",,,,,,,,,,,,,,
"1405","4,8a-dihydroxy-avermectin B1a","NOA 457464",,,,,,,,,,,,,,
"1406","8a-oxo-4-hydroxy-avermectin B1a","NOA 457465",,,,,,,,,,,,,,
"1448","N-demethylated spinosyn D",,,,,,,,,,,,,,,
"2225","27-hydroxy-milbemycin A4",,,,,,,,,,,,,,,
"2226","27-keto-milbemycin A4",,,,,,,,,,,,,,,
"2462","8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a","NOA 438306",,,,,,,,,,,,,,
"2463","(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a","NOA 438307",,,,,,,,,,,,,,
"2464","N-nitroso MAB1a",,,,,,,,,,,,,,,
"2465","(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a","NOA 415692",,,,,,,,,,,,,,
"688","benzo(1,2,3)thiadiazole-7-carboxylic acid","CGA 210007",,,,,,,,,,,,,,
"689","2-hydroxy-2',6'-diethyl-N-(methoxymethyl)acetanilide",,,,,,,,,,,,,,,
"690","methomyl oxime","IN-X1177",,,,,,,,,,,,,,
"691","aldicarb sulfoxide",,,,,,,,,,,,,,,
"692","3-phenoxybenzoic acid",,,,,,,,,,,,,,,
"693","deethyl ametryne",,,,,,,,,,,,,,,
"694","4,6-bis(amino)-2-chloro-s-triazine","ENT 50982",,,,,,,,,,,,,,
"695","deethylatrazine","G-30033",,,,,,,,,,,,,,
"696","desethyl azinphos-ethyl",,,,,,,,,,,,,,,
"697","sulfonmethylbenzamid",,,,,,,,,,,,,,,
"698","(E)-2-(2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)phenyl)-3-methoxyacrylic acid","R234886",,,,,,,,,,,,,,
