ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"951","chrysanthemic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1245","8a-hydroxyavermectin B1a","NOA 448112",,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1246","8a-oxo-avermectine B1a","NOA 448111",,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1405","4,8a-dihydroxy-avermectin B1a","NOA 457464",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1406","8a-oxo-4-hydroxy-avermectin B1a","NOA 457465",,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1448","N-demethylated spinosyn D",,,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2225","27-hydroxy-milbemycin A4",,,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2226","27-keto-milbemycin A4",,,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2462","8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a","NOA 438306",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2463","(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a","NOA 438307",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
