ID,Active,Reference,Mammals - Acute Oral LD50 mg/kg BW/day,Mammals - Acute Oral <>,Quality Barometer - Mammals Acute,Mammals - Short Term Dietary NOEL mg/kg,Mammals - Short Term Dietary NOEL ppm diet,Mammals - STD <>,Quality Barometer - Mammals Short Term,Birds - Acute LD50 mg/kg,Birds - Acute <>,Quality Barometer - Birds Acute,Birds - Short term Dietary LC50/LD50,Birds - Dietary <>,Birds - Dietary Units,Quality Barometer - Birds Dietary,Fish - Acute 96hr LC50 mg/l,Fish - Acute <>,Quality Barometer - Fish Acute,Fish - Chronic 21d NOEC mg/l,Fish Chronic - <>,Quality Barometer - Chronic Fish,Aquatic Invertebrates - Acute 48hr EC50 mg/l,Aquatic Invertebrates - <>,Quality Barometer - Aq invertebrates Acute,Aquatic Invertebrates - Chronic 21d NOEC mg/l,Aquatic Invertebrates Chronic <>,Quality Barometer - Aq Invertebrates Chronic,Aquatic Crustaceans - Acute 96hr LC50 mg/l,Aquatic Crustaceans - <>,Quality Barometer - Aq Crustaeans,Aquatic Plants - Acute 7d EC50 mg/l,Aquatic Plants - <>,Quality Barometer - Aquatic Plants,Algae - Acute 72hr EC50 Growth mg/l,Algae acute - <>,Quality Barometer - Algae Acute,Algae - Chronic 96hr NOEC mg/l,Algae chronic - <>,Quality Barometer - Algae Chronic,Sediment Dwelling Organisms - Acute 96hr LC50 mg/l,Sediment Dwelling Organisms Acute - <>,Quality Barometer - Sediment Dwellers,Sediment Dwelling Org  - Chronic 28 day NOEC Static Water mg/l,Sediment Dwelling Org Chronic water - <>,Quality Barometer - Sediment Dwellers Chronic Water,Sediment Dwelling Organisms - Chronic 28 day NOEC Sediment mg/kg,Sediment Dwelling Org Chronic Sed - <>,Quality Barometer - Sediment Dwellers Chronic Sediment,Honeybees - Contact acute 48hr LD50 ug per bee,Honeybees contact <>,Quality Barometer - Bees contact,Honeybees - Oral Acute 48hr LD50 ug per bee,Honeybees oral <>,Quality Barometer - Honeybees oral,Honeybees - Unknown mode acute 48hr LD50 ug per bee,Honeybees unknown <>,Quality Barometer - Honeybees unknown,Bumblebees - Oral acute LD50 ug per bee,Bumblebees oral <>,Quality barometer - Bumblebees oral,Bumblebees oral - notes,Bumblebees - Contact acute LD50 ug per bee,Bumblebees contact <>,Quality barometer - Bumblebees contact,Bumblebees contact - notes,Mason bees - Contact acute LD50,Mason bees contact <>,Quality barometer - Mason bees contact,Mason bees - Oral acute LD50,Mason bees oral <>,Quality barometer - Mason bees oral,Other pollinator 1 - LD50 ug/insect,Other pollinator 1 - <>,Other pollinator 1 - mode of exposure,Other pollinator 1 - quality barometer,Other pollinator 2 - LD50 ug/insect,Other pollinator 2 - <>,Other pollinator 2 - mode of exposure,Other pollinator 2 - quality barometer,Earthworms - Acute 14d LC50 mg/kg,Worms acute - <>,Quality Barometer - Worms Acute,Earthworms - Chronic NOEC, Reproduction mg/kg,Worms chronic <>,Quality Barometer - Worms Reproduction,Other soil macro-organisms - acute LC50,Other soil macro-organisms - acute LC50 - <>,Quality barometer - Other soil macro-organisms - acute LC50,Other soil macro-organisms - chronic NOEC,Other soil macro-organisms - chronic NOEC - <>,Quality barometer - Other soil macro-organisms - chronic NOEC,Bioconcentration Factor,Quality Barometer - Bioconcentration factor,Clearance Half-life Days,Other arthropod (1) LR50 g/ha,OA Description,Quality Barometer - LR50 Other Arthropod 1,Arthropod (1) %Effect,OAE Description,Quality Barometer - %Effect Other Arthropod 1,Other arthropod (2) LR50 g/ha,OA2 Description,Quality Barometer - LR50 Other Arthropod 2,Arthropod (2) %Effect,OAE2 Description,Quality Barometer - %Effect Other Arthropod 2,Soil Micro-organisms,Quality Barometer - Soil Micro-Organisms,Aquatic Mesocosm 1 NOEAEC mg/l,Quality Barometer - Aquatic Mesoco 1 / Most Sensitive Species,Aquatic Mesocosm 2 NOEAEC mg/l,Quality Barometer - Aquatic Mesoco2 / Most Sensitive Species,Non-target plants 1,Non-target plants 1 - endpoint,Non-target plants plants 1 <>,Non-target plants 1 - Notes,Quality Barometer - Non-target plants 1,Non-target plants 2,Non-target plants 2 - endpoint,Non-target plants 2 <>,Non-target plants 2 - Notes,Quality Barometer - Non-target plants 2
"1385","p-menthane-3,8-diol",,"5000",">","F3 Rat",,,,,,,"Q3 No adverse effects identified or expected.",,,,,,,"Q3 No adverse effects identified or expected",,,,,,"Q3 No adverse effects identified or expected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1386","farnesene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1387","octanal",,"3730",,"V3 Rat",,,,,"111",,"F3 <i>Agelaius phoeniceus</i>",,,,,"7.9",,"F3 <i>Poecilia reticulata</i>","0.098",,"F2 Unknown species","2.3",,"F3 <i>Daphnia magna</i>","0.13",,"F2 <i>Daphnia magna</i>",,,,,,,"13.0",,"F2 Unknown species","1.1",,"F2 Unknown species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1388","nepetalactone",,"1550",">","Q3 Rat",,,,,"2000",">","Q2 Expert judgement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",">","Q2 Expert judgement",,,,,,,,,,,,,,,,,,,,,,,"1000",">","Q2 Expert judgement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1389","tricosane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1390","ocimene",,"5000",">","R3 Rat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1391","4-allylanisole",,"1230",">","V3 Rat",,,,,,,,,,,,,,"R2 Toxic",,,,,,"R2 Toxic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1392","9-tetradecenyl acetate",,"5000",">","A5 Rat",,,,,"2250",">","A4 Unknown species",,,,,"6.35","=","A5 <i>Oncorhynchus mykiss</i>",,,,"0.38","=","A5 <i>Daphnia magna</i>",,,,,,,,,,"0.3","=","A5 <i>Pseudokirchneriella subcapitata</i>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1393","putrescine",,"463","=","A5 Rat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1394","Beauveria bassiana strain ATCC 74040 ","F-7744","1.8E+08",">","L3 Rat, as cfu/kg BW",,,,,"2667",">","A5 <i>Coturnix japonica</i>",,,,,"7300","=","L3 <i>Oncorhynchus mykiss</i>",,,,"4100","=","L3 <i>Daphnia magna</i>",,,,,,,,,,,,,,,,,,,,,,,,,"9285",,"L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1400","Paecilomyces lilacinus strain 251","PBP 01001-1","2000",">","A5 Rat",,,,,"2000",">","A5 <i>Colinus virginianus</i>",,,,,"100",">","A5 <i>Oncorhynchus mykiss</i>",,,,"100",">","A5 <i>Daphnia magna</i>",,,,,,,,,,"71.77",,"A4 <i>Desmodesmus subspicatus</i>, as formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
