ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"692","3-phenoxybenzoic acid",,"24.7","A5",,,,,,,,,"149","V3",,,,,,,"3.91","V3","0.59","V3 @ 25 degC","2.40E-04","V3 @ 25 degC",,"14.0","A5","14.0","A5","61.4","A5",,,,,,,"EU dossier (across several different parent substances) lab studies DT50 range 0.6-61.9 days; DT90 range 2.6-206 days; Industry data lab DT50 50 days (E3)","2.0","120.8","A5","EU dossier (across several different parent substances)  Kd range 1.308-2.958 mL/g, Koc range 80.3-176.8 mL/g, Soils= 11","1.15","72.0","0.81","A5","EU dossier (across several different parent substances) Kf range 0.76-2.08 mL/g, Kfoc range 46-91 mL/g, 1/n range 0.70-0.88, Soils=4","No","2.83","A5","pH sensitive: 1.07 days at pH 4, 4,.07 days at pH9, 20 deg C","Stable","A5","Stable at pH 4,7 and 9","8.0","A5","10.2","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.92","V3","Weak acid","1.24","Q2",,,,,,"2.45577129697682","0.087036275108724"
"693","deethyl ametryne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"694","4,6-bis(amino)-2-chloro-s-triazine","ENT 50982","600","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"0.32","V3",,,,,,,,,,,,,,,,,,,,"6","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"695","deethylatrazine","G-30033","2700","R3",,,,,,,,,,,,,,,,,"1.51","V3","12.44","V3 @ 25 degC","1.55E-04","V3 @ 25 degC",,"45","K2","170","R3",,,"45","K2",,,,,,,"110","R3","Other sources Log Koc 1.90 at 25 DegC (R3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.38","Q2",,,,,,"3.23799412246835","0.402390649662651"
"696","desethyl azinphos-ethyl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"697","sulfonmethylbenzamid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"698","(E)-2-(2-(6-(2-cyanophenoxy)pyrimidin-4-yloxy)phenyl)-3-methoxyacrylic acid","R234886","57","A5",,,,,,,,,,,,,,,,,,,,,,,,"22.2","A5","31.8","A5",,,,,,,,,"EU dossier lab studies DT50 range 14.7-43.4 days","4.7","330","A5","EU dossier Kd range 0.55-14.2 mL/g, Koc range 32.4-772 mL/g, soils=6","3.37","228","0.85","A5","EU dossier Kf range 0.35-10.0, Kfoc range 21-490 mL/g, 1/n range 0.76-0.90, Soils=6","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.46708321864791","0.135440922538695"
"699","2,2-dimethyl-1,3-benzodioxol-4-ol","NC-7312",,,,,,,,,,,,,,,,,,,"1.72","Q2",,,"5.10E-04","H4",,,,,,,,,,,,,,,,"387","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.21","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"700","2-amino-N-isopropylbenzamide",,,,,,,,,,,,,,,,,,,,"1.5","Q2",,,,,,,,,,,,,,,,,,,,"155","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.08","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"701","4-fluoro-3-phenoxybenzoic acid",,"24000","A5",,,,,,,,,,,,,,,,,,,"0.042","A5","6.13E-04","V3",,"1.2","A5","1.2","A5","4.8","A5",,,,,"2.6","A5 worse case, normalised","EU 2018 Dossier Lab studies DT50 (normalised) range 0.8-2.6 days, DT90 (measured) range 3.2-9.8 days, Soils=4",,"4","Q2","Estimated","1.54","103.12","0.64","A5","EU 2018 dossier Kf range 0.65-14.42 mL/g, Kfoc range 39-424 mL/g, 1/n range 0.561-0.749, Soils=7","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.31","Q2",,,,,,"0.157305984303291","6.95427844860879E-04"
