CAS number,substance,product,concentration,Reference.SCI-Grow,Load.Factor.SCI,Reference.BCF,Load.Factor.BCF,Reference.SoilDT50,Load.Factor.SoilDT50,Reference.Value.Birds,Load.Factor.Birds,Reference.Value.Mammals,Load.Factor.Mammals,Reference.Value.Fish,Load.Factor.Fish,Reference.Value.Aquatic.Invertebrates,Load.Factor.Aquatic.Invertebrates,Reference.Value.Algae,Load.Factor.Algae,Reference.Value.Aquatic.Plants,Load.Factor.Aquatic.Plants,Reference.Value.Earthworms,Load.Factor.Earthworms,Reference.Value.Bees,Load.Factor.Bees,Reference.Value.Fish.Chronic,Load.Factor.Fish.Chronic,Reference.Value.Aquatic.Invertebrates.Chronic,Load.Factor.Aquatic.Invertebrates.Chronic ,Reference.Value.Earthworms.Chronic,Load.Factor.Earthworms.Chronic
94361-06-5,cyproconazole,Agora,0.08,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
141517-21-7,Trifloxystrobin,Agora,0.1875,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
111988-49-9,Thiacloprid,Alanto,0.48,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
000467-69-6,Flurenolcarbonsäure,Aniten,0.065,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
467-69-6,Flurenol,Aniten,0.0657,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
1918-00-9,Dicamba,Aniten,0.0438,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
94-74-6,MCPA,Aniten,0.219,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
21087-64-9,Metribuzin,Artist,0.175,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
142459-58-3,Flufenacet,Artist,0.24,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,3,0.8,2
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,5100,2.5,354,2.5,10,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,20,,,,,,1,8,1,0.00021,30,0.00015,30,0.00002,3,0.00035,3,1,2,0.015,100,0.00015,3,0.00015,,,
,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
