"formula";"crop";"product";"reference.sum.risk.scores";"sum.risk.score";"amount.applied";"standard.dosage"
1,5;"Zwischenfutter, nicht überwinternd";"30000 1";350;39,9999999999999;2,05338809034908;3
1,5;"Gründüngung (Nichtleguminosen)";"30000 1";350;39,9999999999999;2,5;3
1,5;"Dauerweide intensiv";"30000 1";350;39,9999999999999;0,43630017452007;3
1,5;"Winterweizen";"30000 1";350;39,9999999999999;0,363636363636364;3
1,5;"Silomais";"30000 1";350;39,9999999999999;2,09302325581395;1,75
1,5;"Winterweizen";"30631 2";350;20;2,49999992887931;2,5
1,5;"Winterweizen";"30631 2";350;20;2,5;2,5
1,5;"Winterweizen";"30631 2";350;20;2,50000008206897;2,5
1,5;"Silomais";"31235 12";350;0;60;80
1,5;"Silomais";"31235 12";350;0;0,08;80
1,5;"Silomais";"31235 12";350;0;0,0814814814814815;80
1,5;"Saatkartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Saatkartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Saatkartoffeln";"30003 2";350;0;2,50285714285714;2,5
1,5;"Saatkartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Saatkartoffeln";"30003 2";350;0;2;2,5
1,5;"Saatkartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,695;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,08125;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,08125;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,3625;2,5
1,5;"Industriekartoffeln";"30003 2";350;0;2,6986301369863;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52941176470588;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,47894736842105;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53157894736842;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,36612021857923;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,39166666666667;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52985074626866;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;0,9;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,40384615384615;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;1,6;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,17307692307692;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;1,6;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,68;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53051643192488;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,175;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52941176470588;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;0,9;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,48356807511737;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53051643192488;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;1,6;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52985074626866;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53157894736842;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52985074626866;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,39102564102564;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,5;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,53;2,5
1,5;"Speisekartoffeln";"30003 2";350;0;2,52985074626866;2,5
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,2;0,2
1,5;"Salate, diverse, mittlerer Ertrag";"30004 2";350;10;0,2;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,2;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Salate, diverse, hoher Ertrag";"30004 2";350;10;0,25;0,2
1,5;"Tabak Virginia";"30004 2";350;10;0,0769230769230769;0,2
1,5;"Tabak Virginia";"30004 2";350;10;0,153846153846154;0,2
1,5;"Winterweizen";"30632 1";350;0;1,835;2
1,5;"Winterweizen";"30632 1";350;0;2;2
1,5;"Winterweizen";"30632 1";350;0;1,8375;2
1,5;"Winterweizen";"30632 1";350;0;1,83574879227053;2
1,5;"Winterweizen";"30632 1";350;0;1,83589743589744;2
1,5;"Speisekartoffeln";"30005 2";350;350;1,48936170212766;2
1,5;"Speisekartoffeln";"30005 2";350;350;1,5042735042735;2
1,5;"Speisekartoffeln";"30005 2";350;350;1,5;2
1,5;"Randen";"30007 1";350;90,0000000000001;1,92307692307692;2,5
1,5;"Bohnen, Busch-";"30007 1";350;90,0000000000001;1,9;1
1,5;"Karotten, Lager-, hoher Ertrag";"30007 1";350;90,0000000000001;1;2,5
1,5;"Winterraps für Speiseöl";"30007 1";350;90,0000000000001;1;2,5
1,5;"Winterraps für Speiseöl";"30007 1";350;90,0000000000001;1,25;2,5
1,5;"Spargel Grün-";"30007 1";350;90,0000000000001;2;2,5
1,5;"Zuckerrüben";"30007 1";350;90,0000000000001;0,757575757575758;2,5
1,5;"Winterweizen";"30638 1";350;150;0,5;0,5
1,5;"Winterweizen";"30638 1";350;150;0,5;0,5
1,5;"Winterweizen";"30638 1";350;150;0,5;0,5
1,5;"Winterweizen";"30638 1";350;150;0,5;0,5
1,5;"Winterweizen";"30638 1";350;150;0,5;0,5
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,416666666666667;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,398496240601504;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,396825396825397;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,434782608695652;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,615384615384615;0,4
1,5;"Zuckerrüben";"30638 1";350;150;0,4;0,4
1,5;"Futterrüben";"30008 1";350;150;0,4;0,8
1,5;"Zuckerrüben";"30008 1";350;150;0,476190476190476;0,8
1,5;"Zuckerrüben";"30008 1";350;150;0,401869158878505;0,8
1,5;"Zuckerrüben";"30008 1";350;150;0,369047619047619;0,8
1,5;"Zuckerrüben";"30008 1";350;150;0,4;0,8
