"substance";"product";"SCI-Grow";"Reference.SCI-Grow";"Load.Factor.SCI";"BCF";"Reference.BCF";"Load.Factor.BCF";"SoilDT50";"Reference.SoilDT50";"Load.Factor.SoilDT50";"Birds.Acute.LD50.mg.kg";"Reference.Value.Birds";"Load.Factor.Birds";"Mammals.Acute.Oral.LD50.mg.kg.BW.day";"Reference.Value.Mammals";"Load.Factor.Mammals";"Fish.Acute.96hr.LC50.mg.l";"Reference.Value.Fish";"Load.Factor.Fish";"Aquatic.Invertebrates.Acute.48hr.EC50.mg.l";"Reference.Value.Aquatic.Invertebrates";"Load.Factor.Aquatic.Invertebrates";"Algae.Acute.72hr.EC50.Growth.mg.l";"Reference.Value.Algae";"Load.Factor.Algae";"Aquatic.Plants.Acute.7d.EC50.mg.l";"Reference.Value.Aquatic.Plants";"Load.Factor.Aquatic.Plants";"Earthworms.Acute.14d.LC50.mg.kg";"Reference.Value.Earthworms";"Load.Factor.Earthworms";"BeesLD50";"Reference.Value.Bees";"Load.Factor.Bees";"Fish.Chronic.21d.NOEC.mg.l.corrected";"Reference.Value.Fish.Chronic";"Load.Factor.Fish.Chronic";"water.phase.DT50.days";"Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted";"Reference.Value.Aquatic.Invertebrates.Chronic";"Load.Factor.Aquatic.Invertebrates.Chronic";"Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected";"Reference.Value.Earthworms.Chronic";"Load.Factor.Earthworms.Chronic";"concentration"
"2,4-D";"30000 1";0,00388411850397747;12,5;20;10;5100;2,5;4,4;354;2,5;500;10;1;300;8;1;100;0,00021;30;134,2;0,00015;30;24,2;2e-05;3;2,7;0,00035;3;350;1;2;97;0,015;100;27,2;0,00015;3;7,7;46,2;0,00015;3;0;0,8;2;0,44992
"Picoxystrobin";"30001 1";0,0338704526051322;12,5;20;290;5100;2,5;24,4;354;2,5;2250;10;1;5000;8;1;0,075;0,00021;30;0,024;0,00015;30;0,056;2e-05;3;0;0,00035;3;3,4;1;2;200;0,015;100;0,01;0,00015;3;7,5;0,008;0,00015;3;0;0,8;2;0,25
"Amitraz";"30002 1";1,01010947019663e-05;12,5;20;1838;5100;2,5;0,2;354;2,5;788;10;1;800;8;1;0,74;0,00021;30;0,035;0,00015;30;12;2e-05;3;0;0,00035;3;1000;1;2;50;0,015;100;0;0,00015;3;0;0,002;0,00015;3;0;0,8;2;0,2
"Dimethomorph";"30003 2";0,168795313360182;12,5;20;0;5100;2,5;56,85;354;2,5;2000;10;1;3900;8;1;3,4;0,00021;30;10,6;0,00015;30;29,2;2e-05;3;0;0,00035;3;500;1;2;67,2;0,015;100;0,056;0,00015;3;10;0,005;0,00015;3;60;0,8;2;0,075
"Mancozeb";"30003 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,667
"Thiamethoxam";"30004 2";3,13789833062729;12,5;20;0;5100;2,5;85,5;354;2,5;576;10;1;1563;8;1;125;0,00021;30;100;0,00015;30;100;2e-05;3;90;0,00035;3;1000;1;2;0,0145;0,015;100;20;0,00015;3;30,6;100;0,00015;3;5,34;0,8;2;0,25
"Linuron";"30005 2";0,10479990300985;12,5;20;49;5100;2,5;57,6;354;2,5;314;10;1;1146;8;1;3,15;0,00021;30;0,31;0,00015;30;0,016;2e-05;3;0,017;0,00035;3;1000;1;2;160;0,015;100;0,1;0,00015;3;13;0,18;0,00015;3;0;0,8;2;0,475
"Carfentrazone-ethyl";"30006 2";0,000270429161360288;12,5;20;176;5100;2,5;1;354;2,5;2250;10;1;5000;8;1;1,6;0,00021;30;9,8;0,00015;30;0,012;2e-05;3;0,0057;0,00035;3;820;1;2;200;0,015;100;0,11;0,00015;3;0,1;0,22;0,00015;3;0;0,8;2;0,0075
"Isoproturon";"30006 2";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,5
"Propaquizafop";"30007 1";0;12,5;20;583;5100;2,5;1,7;354;2,5;2000;10;1;5000;8;1;0,19;0,00021;30;0,9;0,00015;30;2,1;2e-05;3;1,4;0,00035;3;500;1;2;110;0,015;100;0,019;0,00015;3;0,5;0,44;0,00015;3;1,95;0,8;2;0,1
